"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"1",0,0,0,0,0,0,0,0,0,0,0,0
"2",0.0320194,0.0341648,0.0316028,0.0146983,0.229584,0.0832301,0.0519329,0.0277812,0.0278057,0.00730836,0.045123,0.013247
"3",0.0615794,0.0505638,0.1072987,0.0903454,0.404901,0.1702727,0.0796252,0.063873,0.0455756,0.01777166,0.0891376,0.01765752
"4",0.0985067,0.0913072,0.1392652,0.1421482,0.4538852,0.2123377,0.1706469,0.063873,0.1007047,0.09125386,0.1390489,0.03924082
"5",0.1521901,0.09717959,0.163223,0.2587872,0.4841122,0.2324628,0.2443681,0.063873,0.1238095,0.11134226,0.1514221,0.04999432
"6",0.2820321,0.12679899,0.1800639,0.295624,0.5598661,0.2627254,0.2748309,0.0816186,0.1590061,0.16284516,0.15768669,0.09816752
"7",0.3108167,0.16277149,0.2037864,0.3112474,0.5709913,0.2889463,0.27813988,0.1237212,0.1875382,0.21258216,0.18687359,0.15879442
"8",0.3566158,0.19361369,0.2401978,0.3569593,0.6518911,0.29733103,0.40993088,0.1511034,0.2479127,0.23397296,0.23827489,0.18932412
"9",0.4598718,0.22359539,0.2652361,0.3870626,0.6741127,0.31182993,0.51975688,0.2141955,0.2653909,0.31069006,0.34099189,0.26952952
"10",0.495393,0.24904249,0.3185691,0.4438934,0.6844989,0.34189483,0.60694328,0.22046135,0.2905992,0.34802026,0.36018939,0.32635242
"11",0.5338155,0.26618869,0.32627937,0.4569763,0.7948279,0.36157433,0.70032878,0.25217125,0.3233168,0.35131921,0.39286279,0.41135532
"12",0.5584404,0.2673164,0.35896847,0.46207513,0.8636162,0.38888663,0.72854938,0.26250355,0.3626569,0.36533521,0.40991419,0.43443252
"13",0.578518,0.301365,0.39655067,0.4666983,0.8759179,0.41590953,0.75877698,0.30163615,0.3987213,0.38790941,0.44823519,0.49705692
"14",0.6264236,0.3589057,0.43576387,0.508578,0.8983657,0.45519083,0.78180228,0.32556785,0.4400404,0.47143151,0.53851569,0.56098692
"15",0.6405236,0.3796388,0.44698917,0.508578,0.9297061,0.46442581,0.88170598,0.34840575,0.5011546,0.51824001,0.55173439,0.61247382
"16",0.6873968,0.38576061,0.47517817,0.5266572,0.9518858,0.49693011,0.91139198,0.38894645,0.5864664,0.53843981,0.59658949,0.61247382
"17",0.7078966,0.39483885,0.52138167,0.5384337,0.9789963,0.51519471,0.92563148,0.42185435,0.6508073,0.56328261,0.60860249,0.61247382
"18",0.7282804,0.40417976,0.56047047,0.54401809,0.98408408,0.53714271,0.95523328,0.47379985,0.6831982,0.57471331,0.63852939,0.63955472
"19",0.7412152,0.43141336,0.57099047,0.55393569,1.00435478,0.56340441,0.97453968,0.48442205,0.762993,0.63627571,0.65755319,0.65784222
"20",0.763644,0.44803986,0.57502072,0.554750356,1.02055698,0.57557231,1.00457238,0.54119025,0.8540818,0.70188161,0.68261939,0.66506443
"21",0.8346682,0.47933926,0.62830972,0.565908956,1.06211118,0.63832641,1.01862038,0.55174015,0.8912033,0.72471641,0.72295099,0.70763913
"22",0.8861641,0.50155016,0.64319112,0.581985156,1.13702538,0.69788171,1.02298586,0.55174015,0.9218322,0.74344101,0.73402799,0.73636753
"23",0.9319423,0.53879876,0.65265128,0.594438156,1.21600568,0.73341781,1.06661796,0.57842605,0.9218322,0.78016321,0.77219689,0.73636753
"24",0.966094,0.54941816,0.66726898,0.599080026,1.25667748,0.75177311,1.09615156,0.57842605,0.9218322,0.83175331,0.84483069,0.77589963
"25",0.9989261,0.57576076,0.67939238,0.604591296,1.29916778,0.78493501,1.11879126,0.58833334,0.9555456,0.83845053,0.88254289,0.82983293
"26",1.0607272,0.59771296,0.69311418,0.613916576,1.35519838,0.80051941,1.13834906,0.64254354,0.9787818,0.91051563,0.91962749,0.87700323
"27",1.1050328,0.598576226,0.71002768,0.613916576,1.41999448,0.88147061,1.16284386,0.65133397,0.9937196,0.97851273,0.93501549,0.91824153
"28",1.1822819,0.624562926,0.71642094,0.621504256,1.44034278,0.90425601,1.19549936,0.68708557,1.0258162,0.98915563,0.97120259,0.94336413
"29",1.2560545,0.660841726,0.72224327,0.621504256,1.49624568,0.94079131,1.20671816,0.73148057,1.0519659,1.02289023,1.04878159,1.00906043
"30",1.2694807,0.689813826,0.74261757,0.624996366,1.57071078,0.96619451,1.21846396,0.75738807,1.0766045,1.09758093,1.10155799,1.0174023
"31",1.27780685,0.719884026,0.76559307,0.628488476,1.61214318,0.99491161,1.29202916,0.78569187,1.1190953,1.18551243,1.11553409,1.0258234
