"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"TEMP",6.718462,5.009501,1.1317139,6.625296,3.4862192,1.0632869,2.0285689,6.363447,2.3044157,2.2755189,4.7347015,2.9615799
"TEMP",7.288361,5.252693,1.1670335,7.577465,3.5584942,1.136046,2.3358009,7.001094,2.6133727,2.7451809,4.9501235,3.0926659
"TEMP",6.952826,3.933828,1.1341317,7.366415,3.0241559,0.9331783,2.7071139,7.061302,3.358874,2.9631723,4.462117,3.316695
"TEMP",7.124486,3.103152,0.9919067,7.504295,3.0119889,0.877677,3.0341959,7.180738,3.198644,3.0013443,4.4997175,2.646738
"TEMP",7.371565,2.153276,0.9072787,7.246394,2.6282681,0.855884,3.2816289,7.383182,3.969404,3.0604023,4.3528425,2.4451916
"TEMP",7.936062,2.03009838,0.7094835,7.765137,2.5771711,1.0771078,2.7090909,7.411738,4.034897,2.8758063,3.6614915,2.3729746
"TEMP",7.5211694,1.60646538,0.7973535,7.402085,2.6306621,1.1048068,2.7453129,7.899327,3.893793,3.1432463,3.2785389,2.8618186
"TEMP",6.2378304,1.65292528,0.7182452,7.647797,2.4292561,1.1233614,2.4766938,7.883421,3.761797,3.1239293,2.6736753,3.4268296
"TEMP",5.9964274,1.34101558,0.7210716,8.141231,2.8638561,1.1917046,2.5904943,7.198432,3.5623946,3.5169488,2.0912443,3.4308676
"TEMP",5.3653841,1.22140148,0.7427818,7.280719,2.9167761,1.0570571,2.7991333,6.953686,3.6549356,3.587193,1.8565763,3.3264786
"TEMP",5.1512801,1.29788278,0.8015573,6.663999,2.8308751,1.0832311,2.9978479,6.0358797,3.3066207,3.407081,1.5783773,3.9795316
"TEMP",4.6748048,1.38899378,0.8538977,6.83823,3.1860931,1.092303,2.8779099,5.6417817,3.2727917,3.37566,1.4131129,5.2630056
"TEMP",4.5657748,1.29683558,0.812066,7.19509,3.5627274,1.1414877,2.7000409,4.9169887,2.7021637,3.698288,1.6301424,4.9850796
"TEMP",3.5399428,1.22325458,0.90654,6.829836,4.2047162,1.2361135,2.5093449,4.6592117,3.2323927,3.547989,1.8509724,4.8613196
"TEMP",2.8256402,1.14471058,0.8478627,7.109991,6.431319,1.1073006,2.3351249,5.3850987,2.6207377,3.627815,1.7014624,5.027891
"TEMP",1.5682102,1.1506309,1.0287519,7.218154,6.918451,0.9239165,2.2305085,5.3844177,2.5830187,3.361838,1.6005244,4.9059513
"TEMP",1.618863,1.02919329,0.8300292,7.366147,6.851433,0.8311316,2.0461393,4.8079517,3.6124557,2.957379,1.6083193,4.3488988
"TEMP",3.121652,1.10582309,0.8886638,6.990765,6.987547,0.9338656,2.3640454,4.4028527,3.7571717,2.972887,1.6771529,3.5896525
"TEMP",4.994391,1.12443679,0.8982393,7.429765,5.741155,0.9783876,2.9653304,3.8819517,4.5261691,2.844965,1.6584109,3.4711515
"TEMP",6.6222343,1.34402389,1.0396649,7.143225,5.4748397,1.0314491,2.8554984,3.7314097,4.9065391,2.7700188,1.6249049,3.3024455
"TEMP",6.8653363,1.59072589,1.1421139,8.128601,5.4142854,1.0108061,2.8208144,4.515173,5.804582,2.7191805,1.6601389,2.8337665
"TEMP",8.0146226,1.49403689,1.1236893,7.388784,5.1124914,0.9598333,3.0982694,5.014822,5.961685,2.28946499,1.6904436,1.9601765
"TEMP",9.3614276,1.73328909,1.1443863,6.535716,5.0163214,0.9476687,3.1938574,5.278407,5.934227,1.74553929,1.4711325,2.6061585
"TEMP",9.7818036,1.71559849,1.2518273,6.834826,4.6039004,0.9734257,3.3049464,5.462974,5.941304,1.61002409,1.1778058,3.2521405
"TEMP",11.0999642,1.67241749,1.3935936,6.432417,2.4516964,0.9599677,3.3983594,4.387066,5.897052,1.27696489,1.1833668,3.6615945
"TEMP",11.7764222,1.71007109,1.2116918,6.50802,1.8986269,0.9472921,3.3801612,3.721966,6.255368,1.25097189,1.2030092,3.9341402
"TEMP",11.948197,1.7360954,1.1844155,6.26854,2.0543489,0.9529158,3.4709894,3.808403,5.254158,1.35516689,1.2006425,4.0569757
"TEMP",11.771527,1.6117667,1.1943289,6.270044,1.6773003,0.8613638,3.2509804,3.974596,5.62317,1.32148489,1.1926385,4.184882
"TEMP",10.062323,1.7770747,1.2173466,5.355423,1.5688633,0.7366064,2.7052704,4.154982,4.8660286,1.19913789,1.0366033,4.2031
"TEMP",8.906035,1.7776077,1.0462693,5.3106983,1.6347086,0.6542544,2.6588344,3.87921,4.3571436,1.31730009,0.8401547,4.615997
"TEMP",8.604494,1.6802747,0.9024671,4.4325613,1.9491019,0.7630824,2.6401304,3.257323,3.4683475,1.37263139,0.7877207,5.103476
"TEMP",7.409948,1.6771397,0.8554799,4.4556123,2.1831959,0.7661215,2.5199014,2.678615,3.1127532,1.7897419,0.7256561,4.700497
"TEMP",6.036327,1.4592835,0.8322998,4.2260453,1.8958935,0.8279611,2.5003074,2.476268,3.5605752,1.70622408,0.7213149,4.451658
"TEMP",5.5299446,1.4030841,0.57866484,3.7488793,1.7408485,0.7119758,2.3792534,2.336909,3.4484682,1.71710368,0.704801,3.805676
"TEMP",4.4848576,1.2698479,0.39842084,3.4995683,1.8758675,0.7287888,2.3512404,2.332857,3.3941215,1.68846748,0.5904006,3.2458683
"TEMP",3.7815656,1.2580198,0.48446864,2.6513123,1.914916,0.9278495,2.730984,2.2169954,2.7686465,1.53495688,0.5666741,3.0695153
"TEMP",3.5391769,1.3238349,0.48590524,2.30905,2.0055,1.0208887,2.816052,2.0413632,2.8148215,1.40543598,0.7871905,2.9642173
"TEMP",1.9586639,1.4157966,0.51014434,2.0024539,2.3900016,0.911173,2.943436,1.8061806,2.1373937,1.35938098,0.7386388,3.2938853
"TEMP",1.9187239,1.1885388,0.48665334,2.1471249,2.4780776,1.0906694,3.56677,1.5458696,2.1745401,1.31626898,0.7133705,3.3740353
"TEMP",1.4300127,0.9878518,0.47675154,2.2928566,2.4129012,1.2140194,3.536569,1.4265411,2.1450833,1.16756188,0.7972943,4.1459983
"TEMP",1.2662666,0.783503,0.43426154,2.0972359,2.6884472,1.0751318,3.957627,1.4238091,2.1786343,1.18557888,0.7560376,4.0909383
"TEMP",1.2712178,0.948645,0.46294754,1.7146848,2.7806042,1.2468135,4.395223,1.2861406,2.7870406,0.97507588,0.7695009,4.0390429
"TEMP",1.3870108,1.2606652,0.47766244,1.7459718,2.8275443,1.1568804,4.208139,1.0971833,2.6175496,1.0896314,0.8748752,3.8737039
"TEMP",1.5586502,1.3557342,0.5037867,1.5233218,3.0721383,1.2275748,4.669299,0.8854753,2.1401958,1.090317,0.9788888,4.0661709
"TEMP",1.2531706,1.3738309,0.5601989,1.7508398,3.0616193,1.3745867,4.691174,0.7330238,2.1136035,1.2499934,0.9232612,4.3192776
"TEMP",1.2128276,1.3768557,0.4913696,1.645753,3.2167033,1.2516207,4.555532,0.744517,2.0461485,1.364283,0.8767419,4.4744936
"TEMP",1.264529,1.3149594,0.5034636,1.6874025,3.1658303,1.12109069,4.937708,0.9613852,2.0521405,1.3078742,0.7068569,4.5145476
"TEMP",1.261263,1.2948754,0.6252376,1.6208629,2.8888223,1.11885509,4.7015091,0.9126079,2.2684563,1.3854002,0.9030876,4.2714006
"TEMP",1.251232,1.2948227,0.800241,1.4202709,3.0158083,0.93931969,3.9556171,1.0775659,2.2517313,1.3585992,1.1182681,4.1516866
"TEMP",1.2462405,1.3301873,0.77461289,1.3925979,3.2810027,0.85042319,3.9751591,1.0397655,2.3131341,1.4510983,1.2281199,3.2579446
"TEMP",1.3225076,1.4501871,0.91667009,1.4901356,2.9990527,0.85557449,3.5082821,1.1526055,2.5136502,1.6233483,1.4461906,2.4573356
"TEMP",1.3377937,1.1655661,1.17483389,1.5981277,3.0771647,0.75357749,2.9439711,1.314911,2.8050232,1.9410413,1.5513216,2.37124
"TEMP",1.10616347,1.1194371,1.27071759,1.3763677,3.362881,0.86105859,2.7892951,1.4677913,3.0346802,2.4278433,1.4871269,2.30037
"TEMP",0.93330587,1.0404445,1.28510199,1.3777667,3.362954,0.91468349,2.1820211,1.6985773,3.411093,2.7175103,1.3917863,2.107903
"TEMP",0.93947677,1.114167,1.30083779,1.0357116,3.648552,0.78525479,1.9018843,1.8899168,4.551451,3.1395773,1.4529393,2.069256
"TEMP",0.86497507,1.334063,1.29926979,1.0280811,3.971498,0.77136679,1.717809,1.9460202,5.252125,4.1928423,1.5379577,1.865253
"TEMP",1.06500837,1.4245145,1.32244639,1.0139964,3.6868092,0.8184323,1.1495994,1.7514732,5.293493,4.642598,1.6098107,1.992849
"TEMP",1.06510137,1.3797776,1.24607639,1.2721751,4.0556372,0.8275618,1.11161933,1.7539666,5.958364,4.998514,1.4077443,1.721908
"TEMP",0.89172417,1.4175156,1.20669239,1.4249091,4.1688852,0.9625822,1.15058133,1.6026836,6.664848,5.473955,1.2148172,2.011955
"TEMP",0.95438547,1.501016,1.267843,2.3675171,3.9897352,1.0248867,1.04743753,1.7740905,6.669038,5.760093,1.3437022,2.177187
"TEMP",1.09089147,1.4247211,1.239464,3.2163171,3.7610662,0.9775908,1.10417853,1.56998,7.476806,5.97477,1.0865225,1.8033016
"TEMP",1.21236517,1.5489061,1.0075544,3.1983561,3.2493116,0.8966537,1.02951953,1.519382,7.273036,6.092704,1.0936325,2.1250446
"TEMP",1.2192535,1.2648623,1.0014944,3.6880151,2.9821586,0.8955677,1.04379023,1.3244524,7.034618,5.956257,1.0403602,2.2001636
"TEMP",1.1879205,1.3093964,1.0345583,4.2662301,2.6568783,0.7811388,1.21532123,1.1151191,7.009343,6.307312,1.0102813,5.4562936
"TEMP",1.2679632,1.4643154,1.0774463,4.9636702,2.2167702,0.7627615,1.20518593,0.960487,6.630689,6.464097,1.0384723,5.8101986
"TEMP",1.3457199,1.5652804,1.1411856,5.4648935,1.7711892,0.7984165,1.18559423,0.9224984,6.623894,5.661147,1.2227753,6.0192996
"TEMP",1.1964769,1.5890274,1.1098662,6.726856,1.7323828,0.7820182,1.34099083,0.9705454,6.4426267,5.358609,1.2837943,5.7779506
"TEMP",1.0909862,1.6371833,1.1270712,7.515087,1.3899688,0.926132,1.7782218,0.991358,5.7778977,5.272766,1.3490429,6.5823086
"TEMP",1.02775539,1.7463998,0.973908,7.6606,0.9560189,0.8361307,1.8852068,0.9646567,5.5830977,5.033865,1.3671422,7.0911886
"TEMP",0.94090849,1.7829068,0.9922668,7.82105,0.8651059,0.8635137,2.2502726,0.8238529,5.7227677,4.858982,1.2377952,9.9076486
"TEMP",0.75277479,1.8617227,1.0092208,7.765224,0.8891189,0.8653196,2.030362,1.0675364,4.9593157,4.3896901,1.288675,9.821553
"TEMP",0.65949339,1.7998067,1.0963454,7.981048,0.9632107,0.8704609,1.92042,1.1130024,4.3703627,3.8725981,1.408089,13.09421
"TEMP",0.79534129,1.8005227,1.0347067,8.421247,0.9432291,0.7586781,2.0776483,1.216949,4.0113277,3.5158191,1.664064,16.452557
"TEMP",0.98372789,1.7566353,0.9932016,8.943241,0.9464603,0.8043127,2.1019073,1.2863063,3.7892007,3.0037191,1.8052305,16.308457
"TEMP",0.95430589,1.5839243,0.8819822,9.036414,0.902855,0.8380698,2.0858943,1.4609134,3.4108397,2.4750781,1.7530977,15.826025
"TEMP",0.94110389,1.2522911,0.8263312,8.775438,0.8052116,0.7572816,2.2610253,1.738055,3.2886007,2.1802571,1.6837717,16.952142
"TEMP",0.93763689,1.13851,0.9148714,8.363622,0.8397441,0.7376624,2.1876253,1.7003658,3.2695746,2.0359086,1.483418,18.560872
"TEMP",1.02300259,1.041824,0.7593979,8.267741,0.6990339,0.6546678,1.9364073,1.8586417,3.0874156,1.638606,1.4442732,21.299024
"TEMP",1.1279776,1.062448,0.7692236,8.422267,0.8987598,0.6003406,1.8557153,1.972178,3.0057956,1.396189,1.4486743,20.453701
"TEMP",1.2385279,0.8894341,0.7639172,7.70567,0.9563628,0.5003497,1.5133313,2.1054378,2.9729836,1.1978179,1.2748239,19.969461
"TEMP",1.2598772,0.8139394,0.7116342,7.983956,0.9323708,0.5608313,1.5417489,2.1166028,2.8188326,1.2684658,1.19250546,22.758031
"TEMP",1.25754,0.7726744,0.6196155,7.82705,1.0736456,0.6026132,1.7570479,2.0507828,2.9127946,1.2323503,1.00799086,19.163631
"TEMP",1.219926,0.7622044,0.56019649,7.125663,1.1082572,0.644677,1.5761479,2.4823558,3.2836286,1.1597434,0.83493886,19.805601
"TEMP",1.0875352,0.7787651,0.65557499,6.750959,1.0976676,0.6929123,1.3827219,2.6546698,3.4174606,0.9863377,0.83527286,17.507854
"TEMP",1.0305629,0.7334578,0.73582339,6.42722,1.170759,0.6996246,1.4004995,3.2576778,3.1156746,0.8148045,0.87103796,18.47291
"TEMP",0.9628822,0.928199,0.80080939,6.483592,1.1619417,0.6889986,1.2238402,3.9417628,2.499111,0.7159361,0.68328556,19.3329
"TEMP",1.0771132,1.1024741,0.78687929,5.761575,1.2239234,0.8073616,1.1781125,4.562472,2.6190354,0.8957906,0.69647806,23.08763
"TEMP",1.1917462,1.1118458,0.81142929,4.995595,1.4576216,0.9968372,1.2831225,5.215502,2.556609,0.9404712,0.85733566,24.90858
"TEMP",1.1814312,1.1551028,0.78563289,4.678702,1.4362876,1.1770297,1.4538985,6.085747,2.1025936,0.8935596,0.96436036,24.788673
"TEMP",1.4046412,1.2345707,0.87792309,4.435138,1.3948506,1.3592196,1.4585405,7.224253,2.0462006,0.9719667,1.33312076,22.000103
"TEMP",1.5520266,1.1928755,0.80018339,3.411551,1.3687099,1.4362953,1.7725115,8.010151,1.9940636,0.9277137,1.4748931,19.211533
"TEMP",1.5184433,1.1947785,0.75874159,3.2925834,1.1457522,1.3804308,1.6375185,9.037636,1.8369236,0.9834982,1.4485984,19.211533
"TEMP",1.4527099,1.3080543,0.8015557,2.9705547,1.0868508,1.3706337,1.6547993,9.497132,1.4089973,1.0196697,1.42162,14.975163
"TEMP",1.5508877,1.3764695,0.680273,2.2910177,1.1633995,1.3700947,1.5505211,10.24916,1.2055293,1.1518064,1.3615111,14.16088
