"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"1",0,0,0,0,0,0,0,0,0,0,0,0
"2",0.19721,0.485725,0.0338087,0.411698,0.195315,0.0782214,0.0393804,0.296556,0.0246617,0.0298401,0.182095,0.0179832
"3",0.532396,0.82279,0.1010967,0.679054,0.2191307,0.1008948,0.1039965,0.411972,0.1284567,0.1355991,0.2111272,0.2828152
"4",0.718423,1.239898,0.1706686,0.930865,0.3596677,0.1626569,0.1684758,0.526273,0.1334042,0.2260836,0.3689542,0.369717
"5",1.018624,1.2840736,0.2451176,1.0235339,0.4248888,0.1770667,0.4080288,0.794309,0.2827362,0.4588156,0.6583352,0.4562661
"6",1.17214,1.4669596,0.296049,1.3001259,0.4899985,0.2108383,0.4707352,0.8673285,0.3813418,0.5396269,0.8066832,0.4977634
"7",1.727493,1.4824749,0.3277361,1.4722949,0.6498445,0.2417938,0.5784902,1.0629095,0.4949488,0.6135564,1.0175882,0.5814283
"8",1.851596,1.6147239,0.34266,1.5261697,0.9950165,0.2557531,0.5969761,1.5267095,0.5842293,0.6264582,1.2849242,0.6822313
"9",2.081241,1.6610662,0.3602373,1.9543797,1.0989575,0.320603,0.648164,1.8067505,0.6347332,0.6527459,1.4433912,0.7733521
"10",2.241683,1.6714669,0.3776075,2.2105987,1.163213,0.3547764,0.6768532,2.1232255,0.7688922,0.7592499,1.5797792,0.9881611
"11",2.431836,1.7526103,0.3893923,2.5282997,1.1873283,0.3790532,0.7793642,2.3359825,0.8719782,0.9159569,1.6516568,1.0318991
"12",2.517091,1.7982834,0.4122231,2.8695777,1.2043562,0.3895856,0.9426372,2.6526275,1.1453842,1.0185319,1.6709238,1.1246319
"13",2.909552,1.8581867,0.4320565,3.1829387,1.2241123,0.39374039,1.1163872,2.8078945,1.1957166,1.1370279,1.7125019,1.1659257
"14",3.178019,1.9583597,0.4733914,3.3486987,1.236617,0.44823119,1.2634252,2.9897435,1.4578356,1.2472179,1.8213229,1.1855795
"15",3.666572,1.96143584,0.48184396,3.6144517,1.284789,0.53645449,1.3119448,3.2673085,1.6290196,1.4183579,1.880028,1.2480328
"16",3.6816546,2.00297294,0.56209426,3.7699077,1.3677464,0.57946819,1.3867369,3.5030175,1.6805443,1.5884029,1.9006006,1.4526378
"17",3.8088096,2.03399004,0.56738607,4.0240617,1.4603907,0.61661459,1.4048639,3.6932915,1.7501095,1.6558873,1.90968663,1.7248248
"18",3.852366,2.06216744,0.58325307,4.2425757,1.9505707,0.65337739,1.4613206,3.9285385,1.7728573,1.7999243,1.98268843,1.8269748
"19",3.8714569,2.06859937,0.60807417,4.3836667,2.0721687,0.67330069,1.5821226,4.1269175,1.8542384,1.8496496,2.06285623,1.8832653
"20",3.9604613,2.10451897,0.64505537,4.4341108,2.1077626,0.71620749,1.6771149,4.1371574,1.8721787,1.896057,2.10642053,2.3159713
"21",3.991633,2.21606297,0.67430397,4.8099458,2.2503996,0.74351119,1.7396075,4.21842,1.963978,2.04228,2.12315613,2.7879523
"22",4.040509,2.23098657,0.68317716,5.2702918,2.3930956,0.77045459,1.8435325,4.293231,2.046988,2.252503,2.21483723,2.7879523
