Unnamed: 0,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
TEMP,3594.16083,360.11856,261.91419,258.21856,407.95197,97.87029,229.80499,90.27086,236.04849,194.38058,229.53834,3841.56698
TEMP,3638.14623,431.51846,265.9486,272.32186,416.24656,103.66498,251.87279,101.46996,238.23242,209.77768,249.86304,3855.09158
TEMP,2034.07363,411.71946,196.175,217.85746,318.55779,121.90995,245.09999,98.43861,244.43086,204.64083,230.14154,2163.71418
TEMP,2069.29373,390.72269,177.3958,237.0158,306.80919,117.82615,265.49675,102.32956,213.66146,206.23333,238.67892,2077.86024
TEMP,2005.94524,384.35419,201.20871,305.6305,266.13269,122.64325,228.50487,115.01666,185.91425,213.41491,255.10893,2044.20774
TEMP,1898.26944,357.82259,188.11314,342.7176,258.13999,116.83819,292.25197,105.77522,193.31985,169.23668,255.60395,1968.46554
TEMP,268.53267,337.67709,189.38704,347.527,240.03969,153.77969,455.71302,111.35422,138.81204,144.50558,266.27771,161.26434
TEMP,247.63877,357.20759,189.05814,369.4446,234.86219,169.65625,583.18812,126.79012,132.81994,137.95186,211.45591,143.07614
TEMP,255.49224,339.09029,202.04774,355.21349,244.48072,171.0853,761.42642,130.17962,138.48464,113.62586,183.54562,139.59134
TEMP,248.22064,352.68313,192.44714,328.91239,205.68032,171.4945,745.60902,137.93591,128.93815,126.4803,162.65422,156.35778
TEMP,242.81234,282.24343,173.21192,347.59869,160.22803,177.5118,764.25502,151.51571,138.42902,124.5598,165.79282,195.02206
TEMP,209.93584,241.65853,179.12786,341.35338,157.26609,195.33631,783.09772,151.86241,136.989817,125.8183,185.27252,262.20086
TEMP,162.59094,219.08809,167.4366,309.527273,213.17686,193.39231,785.45102,175.21795,125.383237,155.87635,254.12382,279.12436
TEMP,143.63594,229.84136,192.5469,324.633073,256.64376,179.924,772.27092,175.25589,121.493737,172.65095,278.91112,282.0805
TEMP,142.96394,221.78196,181.2913,266.976373,251.08807,162.08739,776.4477,182.89279,119.670327,181.20455,292.07892,300.3836
TEMP,146.31594,211.39506,236.52077,234.813373,240.30629,173.8834,673.60738,194.71513,116.679227,205.69408,314.06171,272.97857
TEMP,151.29941,191.16236,249.29547,219.281373,215.11479,129.41485,507.27876,186.42223,128.431637,201.34098,311.26101,280.88277
TEMP,142.59219,147.53681,267.99227,181.390673,230.61559,118.64052,363.03415,170.41793,117.694997,196.29926,312.80551,272.66648
TEMP,159.59849,151.41511,303.11097,211.327283,231.75319,135.323,195.35205,169.37293,113.588597,197.95267,322.2075,264.32418
TEMP,167.87929,178.79731,279.81477,192.381173,214.87723,132.96048,221.49595,184.07203,128.951687,211.69867,321.5588,245.16156
TEMP,172.24999,198.00381,304.84489,215.308773,214.18361,145.60808,159.94794,178.49213,122.100737,229.35857,297.81085,220.53556
TEMP,191.68949,171.52991,303.02581,253.208083,214.89612,137.65548,140.84594,179.41583,125.91737,217.04469,269.68105,147.40744
TEMP,181.68668,204.08815,341.93047,265.33399,167.00352,118.31819,145.82494,173.21293,161.18855,185.09629,195.81555,155.38924
TEMP,162.59328,225.50835,315.85777,232.68065,142.65632,127.8479,137.86764,188.1923,342.27825,156.74759,161.10296,172.96044
TEMP,177.62367,229.54495,310.35329,237.75395,134.52062,129.78966,130.74003,163.63441,497.70717,146.55069,147.17086,165.49814
TEMP,186.54777,231.84845,286.83119,230.88745,131.05034,147.26676,144.34685,154.74095,646.18467,119.36399,147.60346,176.68817
TEMP,181.05802,232.75315,267.93539,242.22095,180.07434,162.24381,147.57007,169.55355,703.31017,122.06159,140.93414,154.30209
TEMP,203.87084,236.97664,264.39129,260.63225,213.01754,167.18934,169.50668,161.32435,745.07591,154.46993,149.45304,164.70168
TEMP,188.31384,224.45464,259.20259,298.75785,214.91444,170.47134,168.32898,158.67575,740.44541,150.27715,189.73614,158.11428
TEMP,195.74694,210.30274,249.57671,349.81316,260.2854,205.60736,133.95049,151.96255,742.99591,119.57133,335.96564,166.5014
TEMP,191.63024,206.88644,222.54851,334.94016,261.73109,185.12076,160.0596,169.73195,754.30126,93.49464,409.53399,159.891
TEMP,170.88385,206.5128,226.39904,299.55876,333.05863,187.17646,175.9773,171.90165,761.0413,97.61447,427.72209,180.41632
TEMP,177.37066,186.4863,194.59254,298.82316,442.31423,212.78095,185.1634,169.31355,752.9513,107.44587,459.17739,157.33637
TEMP,190.85186,182.2054,190.10446,299.002,478.91423,209.35835,194.2874,169.08395,563.11704,107.93294,482.45678,141.94827
TEMP,184.11576,216.298,198.73594,288.252,501.08542,225.4194,203.92711,167.66969,421.61704,94.859144,464.21127,127.4549
TEMP,177.19956,235.3717,182.45544,289.0483,511.05788,194.59087,190.02577,160.758198,279.76964,101.485244,446.43907,141.1309
TEMP,174.21518,305.573,205.83314,270.22831,467.85448,181.08806,195.36967,160.270298,210.73892,96.315804,441.00187,163.21608
TEMP,159.41998,346.69236,181.28352,249.02272,425.93558,185.49036,166.82938,158.070038,167.81349,79.219104,441.37347,178.87408
TEMP,166.87448,352.50776,132.11309,181.439,441.92448,158.2341,172.14798,167.059138,149.7938,94.044474,389.6242,188.28138
TEMP,152.23968,345.98066,147.35637,132.26868,396.1104,130.7244,168.2577,161.859538,142.5533,96.448844,239.3311,185.52164
TEMP,164.62158,343.77356,147.03721,97.06388,456.16582,122.76709,183.1215,135.338868,145.5014,96.188594,174.8686,187.16904
TEMP,180.74627,343.02946,147.82911,94.95354,434.25052,117.96019,169.9897,139.616268,164.2257,102.779744,180.1902,179.86224
TEMP,187.74717,374.33326,151.73251,95.41674,316.79358,92.61913,153.5081,128.398298,156.4474,94.525534,146.67704,184.56792
TEMP,203.73757,360.31966,158.79259,99.95384,269.66838,107.05273,158.1989,121.789898,206.51866,99.055064,127.29344,207.44782
TEMP,196.74356,334.72086,166.11369,104.20834,253.22152,95.34471,380.0121,129.475548,196.16641,119.32356,139.71725,223.22949
TEMP,192.90066,302.98736,183.13799,103.03204,250.62201,105.54904,473.97304,138.49291,205.79171,137.43746,137.32532,215.14669
TEMP,220.90189,264.50206,165.92959,173.74523,221.57411,106.40474,502.61514,125.15481,232.24963,149.2173,158.62464,204.39089
TEMP,237.44299,238.43816,186.41781,228.69022,218.31671,109.16254,572.24073,119.81809,234.29005,147.9145,142.68794,206.67199
