Unnamed: 0,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.24902,0.230746,0.250576,0.227696,0.43216,0.150598,0.0427576,0.295539,0.0748518,0.429767,0.248447,0.0627834
3,17.25383,0.2733352,0.407393,0.373341,0.740433,0.1682405,0.0655813,0.51998,0.095446,0.630172,0.2954729,0.082766
4,17.604364,0.2834516,0.4846459,0.413218,0.976075,0.2155019,0.0872947,0.5560513,0.1793779,0.6676388,0.5084149,0.1459383
5,27.496074,0.366031,0.49286588,0.4425744,1.087657,0.2427672,0.1841173,0.614545,0.2345667,0.6876693,0.55902,0.2552843
6,30.419884,0.4561194,0.52645208,0.4928298,1.113357,0.2685309,0.244269,0.801765,0.3298548,0.7750579,0.693032,0.3366273
7,37.959704,0.4764587,0.56135638,0.6091628,1.1583068,0.7306379,0.3232893,0.988519,0.3572522,0.8096737,0.807099,0.3948633
8,39.033014,0.5396259,0.61758528,0.7047295,1.1891339,1.6860259,0.5179073,1.0115364,0.4346337,0.8445755,0.9021971,0.4677918
9,39.146029,0.608873,0.66101888,0.8144035,1.2938339,2.2741749,0.5402707,1.062812,0.4474513,0.8714575,1.0467711,0.4990021
10,39.171919,0.6299597,0.79563488,0.9850125,1.4322429,2.8028489,0.5727527,1.136969,0.4604647,0.9165441,1.0723228,0.5479124
11,39.2083091,0.6715982,0.83496638,1.1658025,1.51523,3.1579129,0.5963411,1.2006377,0.47691,0.9314953,1.0918626,0.6044561
12,39.3441871,0.7463615,0.85031638,1.2956125,1.5436363,3.3390439,0.59998015,1.3077207,0.4958812,0.9491645,1.1819523,0.6445109
13,39.3441871,0.7624917,0.89376248,1.3853526,1.6074754,3.434524,0.78151515,1.3190222,0.5222602,0.9842225,1.2086472,0.65117906
14,39.3441871,0.7854206,0.95669088,1.4193841,1.6256349,3.567887,1.01542115,1.3292574,0.5388002,0.99302248,1.2587811,0.67549746
15,39.3441871,0.8192503,1.05402938,1.5340401,1.6931977,3.5847105,1.05928775,1.3537648,0.6632412,1.03358448,1.3828171,0.69665796
16,39.3441871,0.8647662,1.13681318,1.7011061,1.7807396,3.6128719,1.06686486,1.416502,0.7902622,1.07659438,1.5071661,0.77314406
17,39.3441871,0.8871693,1.24608618,1.8124121,1.8017796,3.683698,1.12818536,1.4972685,0.79653328,1.10000098,1.5239607,0.90822906
18,39.3441871,0.936129,1.31429788,1.8828747,1.8222962,3.7167821,1.31360936,1.6148425,0.97336128,1.13349318,1.5858115,0.99258836
19,39.3441871,1.0177851,1.36094128,2.3967357,1.8718249,3.7886574,1.34372416,1.7362795,1.11284228,1.15048518,1.59485464,1.01364646
20,39.3441871,1.0652806,1.39312248,2.7072297,1.9367295,3.8290612,1.40146196,1.8446355,1.12767468,1.17293628,1.60562654,1.08533316
21,39.3441871,1.2590966,1.42649468,2.7818537,1.973978,3.9106291,1.41345486,1.9703715,1.20175168,1.28073228,1.63683684,1.18257416
22,39.3441871,3.5691066,1.45580608,2.9725387,2.0044847,3.9379645,1.51613586,2.0422134,1.27631398,1.51398828,1.64813634,1.19317516
23,39.3441871,5.9736866,1.48048358,3.058669,2.0341038,4.0666025,1.61499686,2.1019461,1.28676068,1.92322128,1.67331874,1.27102466
24,39.3441871,6.0484868,1.53800108,3.307772,2.0741861,4.0927861,1.66850866,2.1523429,1.29913708,2.45310328,1.70421504,1.37673866
25,39.3441871,6.6305028,1.64091308,3.58673,2.1090995,4.1654605,1.76294096,2.4666919,1.33563878,2.98001228,1.72169264,1.40678436
