Unnamed: 0,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
TEMP,16.31605,1.3544065,0.9376561,1.0028543,1.0149482,2.8628432,0.96454795,0.9844081,0.7904413,0.8341774,0.8792604,31.4456
TEMP,18.47171,1.4727535,0.9583272,1.0616908,1.1320582,3.0467722,1.03229035,1.0420948,0.8600749,0.8744143,0.8946494,31.4456
TEMP,18.996747,1.0884966,0.8893112,0.906347,1.029517,3.5655642,0.76047865,0.8222398,0.7873089,0.66693789,0.7800007,27.2749
TEMP,19.741593,0.9811196,0.907196,0.9035305,0.97582,4.2943744,0.68570515,0.885241,0.7336734,0.67594849,0.7019574,25.47725
TEMP,20.16456,0.9491409,0.8990771,0.8846388,0.9304827,6.4563105,0.73440245,0.9191726,0.7344398,0.74642199,0.7051022,25.3524
TEMP,18.279326,1.171057,0.877871,0.9667241,0.8742333,10.852167,0.7795992,0.9730593,0.6974256,0.73697419,0.7045404,23.96074
TEMP,16.541664,1.2440584,0.7253822,0.9851451,0.8424676,15.610595,0.6985763,0.886975,0.5788882,0.56345219,0.6198369,23.31726
TEMP,14.6028476,1.1537562,0.6641055,0.7120605,0.7371186,19.48164,0.5483905,0.7197662,0.4872899,0.34438439,0.6024099,20.8367
TEMP,12.0513206,1.0995113,0.7038296,0.7509205,0.7596484,20.757091,0.5497507,0.6834748,0.4741755,0.32117139,0.5759349,17.67992
TEMP,8.8442689,0.9790722,0.7712008,0.8392214,0.7893723,24.093109,0.6160416,0.701548,0.4802163,0.34784729,0.6205695,19.50668
TEMP,6.2851349,0.8841093,0.6471082,0.9813887,0.6340113,27.851783,0.6410972,0.7532724,0.4483491,0.32394649,0.6650277,20.0865
TEMP,4.4832219,0.8566828,0.6514002,1.0584752,0.5169013,31.120864,0.5870306,0.7286887,0.3993183,0.32383259,0.6802571,21.24093
TEMP,3.8951769,0.8598482,0.5439221,1.0670092,0.5761865,32.386193,0.585686,0.6955987,0.3448291,0.3538302,0.6809772,21.688216
TEMP,3.1754359,0.8624288,0.5995414,1.045898,0.8109595,32.544938,0.5726808,0.6304237,0.3221111,0.3220205,0.7445555,19.447972
TEMP,2.8694069,0.8892984,0.6124433,1.0406375,0.7976055,30.650796,0.58262,0.5944925,0.3110689,0.3132306,0.6735191,15.318038
TEMP,2.4283911,0.6885419,0.6576446,0.9452871,1.0230449,26.797841,0.6131412,0.6465273,0.3418631,0.2933263,0.6134371,13.994028
TEMP,2.2464542,0.5505747,0.6228614,0.8449324,1.1027305,22.390381,0.5644271,0.6342784,0.5172455,0.3244655,0.7195921,11.363211
TEMP,2.2634826,0.5351848,0.5906879,0.8581258,1.0517388,18.447807,0.5689152,0.6615451,0.5992968,0.3910063,0.7454031,9.767908
TEMP,2.2871996,0.5612001,0.6163599,1.0235099,1.1589945,16.929606,0.7062742,0.8172777,0.6241631,0.5625023,0.6931633,10.838438
TEMP,2.2466859,0.5166772,0.5561909,0.929671,1.1619388,14.307966,0.6808317,0.7933168,0.651106,0.5225081,0.7207881,9.991288
TEMP,1.9169169,0.5272631,0.6482815,0.7825338,1.2170746,14.940196,0.6153792,0.7751932,0.6630217,0.5713165,0.6889666,10.106107
TEMP,1.7305679,0.5075295,0.6516402,0.7176475,1.4989976,15.997016,0.8139814,0.770803,0.677803,0.5762805,0.7532157,9.681896
TEMP,1.3746229,0.4825838,0.6718634,0.7633879,1.5695106,17.192906,0.8249764,0.6924526,0.6992513,0.616636,0.7954604,9.95783
TEMP,1.3346779,0.4854158,0.6036732,0.8638702,1.3812605,19.635778,0.8860701,0.6855749,0.7448645,0.6988415,0.7504575,9.513745
TEMP,1.1259991,0.5438203,0.6380413,0.8921672,1.3961708,21.1486,0.8540382,0.701754,0.8218453,0.7193634,0.7653844,9.975494
TEMP,1.2824379,0.6449978,0.6815691,1.1729186,1.184455,21.289447,0.9617033,0.6224454,0.8471434,0.739374,0.8138731,8.722156
TEMP,1.7248348,0.762224,0.7912141,1.2883823,1.1244082,23.562617,1.001208,0.7671206,0.7039154,0.7082348,0.7322172,8.813982
TEMP,2.8054428,0.7355912,0.8355092,1.4104305,1.0994027,24.736431,1.0832687,0.8263017,0.6101102,0.6476751,0.6285983,8.827752
TEMP,3.2809128,0.7202237,0.7327778,1.2744631,1.0487787,24.617317,0.9763431,0.66171386,0.5391863,0.5464022,0.5785311,7.096489
TEMP,4.0780062,0.8881197,0.6780755,1.454779,1.0943329,24.164873,0.9863983,0.82834696,0.5403798,0.5598368,0.4875,6.922515
TEMP,5.2942892,0.9573517,0.6203093,2.2442032,1.1049861,20.800453,1.0380718,0.93938636,0.5425339,0.5290433,0.4786497,7.263526
TEMP,5.7490442,0.8969941,0.6679513,4.4866865,0.9026174,17.131605,0.9507088,0.95341916,0.5308285,0.5345361,0.4395231,7.741187
TEMP,7.8153542,0.83945279,0.7284535,7.2603249,0.7718612,14.835721,1.0295181,0.94921496,0.5240346,0.5047662,0.4634518,8.448827
TEMP,10.0783062,0.87502229,0.7292739,9.3589719,0.8529483,13.865561,1.0132248,1.03106966,0.5962049,0.5565297,0.4792006,9.309846
TEMP,13.799398,0.78919819,0.6976303,12.8748866,0.9398543,13.373441,0.9802485,1.00205216,0.5994389,0.5557188,0.5522025,10.002081
TEMP,14.214189,0.72588899,0.6129722,15.5433266,1.0533521,13.187037,0.9427505,0.94539072,0.631936,0.5480313,0.5558603,10.043607
TEMP,15.904341,0.63322999,0.555402,18.0393556,1.0321708,11.300602,0.9031265,0.78993812,0.6072922,0.5634433,0.5941375,9.634136
TEMP,15.111924,0.71106889,0.5306453,20.8053326,1.103007,10.252498,0.8769626,0.67280572,0.6263155,0.5551934,0.594589,9.761141
TEMP,15.719074,0.78133159,0.561936,25.599905,1.0465984,9.801101,0.8774226,0.79130656,0.6503061,0.5332976,0.6600946,10.039586
TEMP,15.537367,0.74178059,0.5945355,29.760958,1.0834444,9.182988,0.9457569,0.69635456,0.58511736,0.5681903,0.660073,9.636657
TEMP,14.617078,0.69544019,0.6516937,34.14528,1.1556494,8.203602,1.0461729,0.54954526,0.57783946,0.51734821,0.6373169,8.911025
TEMP,14.923259,0.75356019,0.5757299,37.10216,1.1692681,8.307776,0.9893692,0.51441617,0.61470596,0.47406422,0.6602238,8.582205
TEMP,13.360415,0.8482017,0.5007285,38.39787,1.2336073,8.65206,0.9018369,0.50910077,0.63753456,0.45603962,0.5966397,7.403892
TEMP,12.052615,0.8781843,0.4764363,41.47261,1.2026023,8.45563,0.8758425,0.40947707,0.50139416,0.33022266,0.6072804,6.348154
TEMP,8.86073,0.9021928,0.4482917,42.59755,1.2282753,7.568161,0.8851881,0.43013927,0.52920116,0.27735786,0.6004954,5.476627
TEMP,8.452716,0.8365362,0.5011636,43.66874,1.0637242,11.145533,0.7456341,0.50918521,0.44722316,0.28502546,0.6384972,5.151533
TEMP,6.903245,0.8332492,0.4737288,45.69021,1.1037574,12.335278,0.8190974,0.61526281,0.43837426,0.32980476,0.6331241,4.970186
TEMP,7.229224,0.791141,0.4336119,48.44888,1.0626434,13.441992,0.7856047,0.67218671,0.43800326,0.32757846,0.7087785,4.518999
TEMP,6.637453,0.7768031,0.4512373,48.59722,1.158205,14.502884,0.7968797,0.57064261,0.41083116,0.31298716,0.6593047,3.941905
TEMP,7.135992,0.6345092,0.4508003,48.40602,1.0587782,14.743168,0.7354169,0.56904601,0.438784,0.33345856,0.6890067,3.5836285
TEMP,7.233141,0.588589,0.4033069,47.46753,0.9249054,14.502828,0.6168489,0.65047031,0.4349475,0.33042746,0.7470604,3.6116925
TEMP,7.121982,0.5530116,0.4989974,45.82247,0.8794997,14.151859,0.612971,0.6844973,0.4088792,0.39926985,0.7570666,3.4087045
TEMP,6.678275,0.472811,0.5717636,44.33233,0.8329953,13.591588,0.6018463,0.6846418,0.3762242,0.45952525,0.7688668,4.2070575
TEMP,5.818855,0.5583863,0.639947,42.5387,0.8557893,12.058032,0.6395332,0.7108487,0.5163796,0.53147051,0.9178872,5.2122855
TEMP,5.3075175,0.5473457,0.6312477,39.19124,0.7387671,11.954457,0.7342986,0.7561949,0.4167182,0.65505571,0.8131702,6.6011825
TEMP,5.2678295,0.5887205,0.6012719,36.75329,0.9102272,7.8861763,0.809454,0.6954733,0.4405777,0.65038741,0.6893722,8.4663785
TEMP,4.7529425,0.5992133,0.5873289,33.3863,1.1517181,6.1724243,0.7739805,0.5607418,0.4586527,0.62187311,0.631969,11.2516175
TEMP,4.7675105,0.6569775,0.6351957,27.822657,1.1185565,5.1626013,0.7781671,0.5791155,0.42108077,0.64070781,0.5818017,13.8640725
TEMP,4.8497855,0.6281499,0.5854202,26.792427,1.0901565,4.2140473,0.7473814,0.622504,0.54125477,0.63565041,0.6245249,15.6958545
TEMP,4.4440915,0.6697813,0.5636454,25.410187,1.3633863,3.8427693,0.7149315,0.5609456,0.58781827,0.63797291,0.6029949,17.277084
TEMP,4.2389975,0.7461178,0.6653088,22.875467,1.3405961,3.8244973,0.7490579,0.5051728,0.62298007,0.7279213,0.6788869,18.339282
TEMP,3.5373145,0.7573413,0.7568353,21.521317,1.3380461,3.4755643,0.7778587,0.5729773,0.68389567,0.7148969,0.6182653,18.82981
TEMP,3.4660695,0.9273519,0.7047674,20.662907,1.4525605,3.0787383,0.9116137,0.7667548,0.78067287,0.7155077,0.6986754,18.067424
TEMP,3.6237375,0.8078366,0.7009112,20.203607,1.4116396,2.5093826,0.9082002,0.7658347,0.68905367,0.7035046,0.5165927,17.344947
TEMP,3.704204,0.8220672,0.73592,22.211387,1.4589767,2.3942106,0.7838589,0.8205637,0.72737837,0.6232362,0.5781659,15.613312
TEMP,3.933677,0.8117161,0.7586696,24.241487,1.3554392,2.5272863,0.7627578,0.8921391,0.74485467,0.5975696,0.6242968,13.689644
TEMP,4.355949,0.785331,0.8420199,25.712957,1.3007642,2.4166733,0.772827,0.9741236,0.79754397,0.5960168,0.6580588,10.837692
TEMP,4.891749,0.6873988,0.8314032,26.731,1.5138928,2.0812691,0.807908,0.9588795,0.79759865,0.5912976,0.6833679,8.276113
TEMP,5.438905,0.683011,0.8783934,24.31317,1.5453548,1.9405207,0.8366195,0.9084388,0.68474215,0.5771269,0.8162829,6.605181
