Unnamed: 0,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.194662,0.157491,0.0635465,0.0605295,0.0560419,0.0938117,0.102856,0.120378,0.0493343,0.0725619,0.0482297,1.39159
3,0.2407666,0.1978847,0.0777317,0.0910055,0.0767719,0.10208405,0.1458608,0.1386762,0.0851041,0.08016906,0.0871919,3.07194
4,0.283398,0.2205938,0.0946858,0.114135,0.1070492,0.13219815,0.1592541,0.1520648,0.0970264,0.08016906,0.1177101,4.60292
5,1.071894,0.22953586,0.1087476,0.1428944,0.1479539,0.14286315,0.16255598,0.1636146,0.1163035,0.10044426,0.1491721,6.18155
6,1.738385,0.25951306,0.1712327,0.1939412,0.1787157,0.17996025,0.21666548,0.2173067,0.1621876,0.15834156,0.1774343,7.51921
7,2.416242,0.31273566,0.213901,0.291255,0.2582002,0.26961965,0.27966558,0.291375,0.2051899,0.24478016,0.2173846,9.07249
8,3.337671,0.33888106,0.2341418,0.29950337,0.26544447,0.57589565,0.28700371,0.3095751,0.2317938,0.25252542,0.2603539,10.49213
9,4.437461,0.41114716,0.2669595,0.31354687,0.27420524,0.78824365,0.30066011,0.31915836,0.2445797,0.25696922,0.2768346,10.49213
10,5.444011,0.45191076,0.3128582,0.33461207,0.33864754,0.95521565,0.32183061,0.32845739,0.2637387,0.27833142,0.2933741,10.49213
11,6.163269,0.49139856,0.31975533,0.35424347,0.37772234,1.01658555,0.34443351,0.34770509,0.2869726,0.29175682,0.2985088,10.49213
12,6.533114,0.52067896,0.36027413,0.36294104,0.39955034,1.28349755,0.35659721,0.39472659,0.3120278,0.29509228,0.30848468,10.49213
13,6.827744,0.52524543,0.38042673,0.39247724,0.40236376,1.53494455,0.37465301,0.43404559,0.3299015,0.30570588,0.32140688,11.57268
14,7.011502,0.53728453,0.39467193,0.40930334,0.41751386,2.28640955,0.40429471,0.45875589,0.3420796,0.32922008,0.35297428,13.062
15,7.17097,0.62027093,0.40165807,0.46545124,0.43965036,3.76379955,0.42267691,0.48828549,0.34900658,0.34634298,0.38424878,14.17629
16,7.2576741,0.67460563,0.41326387,0.52264474,0.45981326,5.38858955,0.44975241,0.51325489,0.35533932,0.34634298,0.38424878,15.29924
17,7.2886256,0.69769783,0.43548677,0.52884128,0.50414706,6.76985955,0.46264141,0.53153219,0.36777912,0.35968748,0.41838448,16.024858
18,7.3587118,0.70574387,0.46898187,0.55005568,0.51890856,7.50170355,0.47043336,0.5376233,0.39000722,0.35968748,0.45252018,16.391205
19,7.3884403,0.73782427,0.52427867,0.59356168,0.53758706,8.82714355,0.50620836,0.5532369,0.40480872,0.37303198,0.48389358,17.000723
20,7.5411083,0.74690251,0.52877252,0.66206238,0.55019176,10.24823355,0.53573896,0.5797943,0.41333495,0.38641948,0.51526698,17.194186
21,7.6591393,0.77723901,0.53710171,0.70741448,0.55019176,11.40036355,0.54030202,0.5908395,0.42020927,0.39980698,0.52548308,17.579374
22,7.8327773,0.80757551,0.54175924,0.71895948,0.59180076,12.08946655,0.55201702,0.6268201,0.42708359,0.41315148,0.53569918,17.728615
23,7.8872584,0.81300304,0.58046994,0.74145178,0.67294866,12.39388055,0.56573352,0.644393,0.43737719,0.41315148,0.56983488,18.061687
24,7.9689075,0.83400744,0.59901994,0.75652268,0.68364306,12.51334655,0.59869152,0.6571145,0.44587091,0.43373288,0.57770032,18.173015
25,7.9812263,0.85000964,0.62108794,0.78085598,0.78099966,12.70515655,0.62725742,0.704006,0.46307271,0.44421448,0.58892782,18.84554
26,8.0072255,0.85831036,0.62108794,0.80456498,0.82775026,12.85935755,0.63807902,0.7248884,0.52792371,0.45460438,0.62434752,19.090694
27,8.0438588,0.87626756,0.63257574,0.81516368,0.85507016,12.92515075,0.65246552,0.7522635,0.56774061,0.49015078,0.66709532,19.284022
28,8.1218587,0.89299386,0.67463644,0.89155998,0.90561866,13.15043075,0.70608872,0.8103165,0.59826561,0.54737218,0.68380072,20.007559
29,8.1380694,0.91021876,0.70985724,0.90375558,0.92527956,13.60113975,0.73337462,0.81793527,0.62205681,0.54737218,0.72439142,20.334416
30,8.1807067,0.92282916,0.74507804,0.92316248,0.95628086,15.23317975,0.74106631,0.83844557,0.63455881,0.57704498,0.74514732,20.566189
31,8.2365609,0.94658136,0.75452789,0.94686458,1.05034736,16.73792975,0.81189511,0.84802588,0.64636511,0.59208868,0.77680082,20.809834
32,8.2914345,0.96859456,0.76593309,0.97367138,1.11548366,17.82604975,0.82727871,0.85786404,0.66039591,0.61889818,0.80111232,21.051144
33,8.33258730000001,0.97496698,0.78189129,1.02969058,1.13381996,18.94554975,0.86137961,0.87314214,0.68590881,0.64632688,0.82023242,21.236042
34,8.3446085,1.01545878,0.81190859,1.05420298,1.14948926,19.56978575,0.88364981,0.89126194,0.72008801,0.67375558,0.83307832,21.501437
35,8.4091248,1.06521978,0.84850009,1.17221198,1.17620476,19.80859075,0.94813941,0.91169144,0.74573071,0.69091398,0.86048462,21.755773
36,8.58273380000001,1.11263438,0.88508419,1.23444648,1.20292026,20.72125575,0.97214211,0.98084624,0.76279211,0.69091398,0.868659,22.031566
37,8.97992380000001,1.12170529,0.91135159,1.28576768,1.22189676,21.17870475,1.01390901,1.02796754,0.77131006,0.70625408,0.87683338,22.229489
38,9.2165688,1.13330409,0.91913508,1.31679728,1.25555406,21.36424175,1.03185541,1.031104,0.77817063,0.72968468,0.87683338,22.375374
39,9.4987378,1.20654909,0.93610398,1.38915728,1.29041456,21.66398775,1.06249631,1.0943215,0.80236013,0.73416726,0.88705068,22.644182
40,9.9471998,1.24225929,0.95205048,1.67196328,1.32497026,22.17345575,1.08742941,1.1518812,0.81558083,0.75356556,0.90485358,22.989736
41,10.1547878,1.24587259,0.97739658,2.44389328,1.35151436,22.45405775,1.12910851,1.1661437,0.82348145,0.77044206,0.92345208,23.392757
42,10.8991048,1.24868651,1.00898898,3.39615228,1.37302266,22.77613475,1.17078761,1.1745791,0.83524535,0.78731856,0.95574768,23.870176
43,11.6953138,1.26692711,1.02522088,4.15240528,1.41841446,23.57193275,1.19945221,1.2171688,0.88483865,0.83201856,0.98012248,24.34236
