Unnamed: 0,WT,WT,WT,WT,WT,WT,WT
TEMP,20.788179,68.708515,1.41367187,1.5600966,1.0198537,2.734509,7.9992778
TEMP,20.788179,71.070335,1.47625477,1.6663246,1.0198537,2.8082946,8.1363538
TEMP,20.788179,70.683125,1.51555777,1.7883226,0.9331017,3.0332186,7.1221668
TEMP,20.788179,70.683125,2.20809477,1.7363016,0.6916807,2.5976576,5.4941044
TEMP,7.688579,70.683125,2.96292677,1.6081874,0.5621327,2.7291256,4.9408987
TEMP,3.565339,70.43187,2.74150397,1.8741858,0.4208537,2.4745976,3.2731537
TEMP,3.215627,37.46437,2.83851697,1.7426028,0.1686457,2.6963576,2.6442487
TEMP,3.012801,4.61737,2.84653667,1.9928235,0.0578597,2.7889866,1.7378836
TEMP,1.507731,4.61737,3.25617267,1.8351933,0.0,2.7962846,1.6808158
TEMP,0.667665,4.61737,3.5062811,1.8759593,0.0,2.8753936,1.4271298
TEMP,0.0,4.61737,3.4684311,1.9713196,0.0546229,2.7843044,1.2747148
TEMP,0.0,2.25555,4.2089432,1.9025264,0.2945679,2.8071963,1.2106694
TEMP,0.0,0.0,4.4441892,1.7650594,0.4313939,2.4663633,0.9598983
TEMP,0.0,0.0,3.8634412,1.7174164,0.530232,2.226472,0.9881636
TEMP,0.0,0.0,3.6303762,1.7755716,0.922101,2.08769,2.7693253
TEMP,0.0,0.0,3.885822,1.6984136,1.141742,2.554531,3.2846723
TEMP,0.0,0.0,3.89406,1.6335651,1.2226455,2.2484422,3.6991843
TEMP,0.0,0.0,4.71108,1.3624192,1.4751315,2.5417782,3.8964924
TEMP,0.0,0.0,4.754631,1.5282064,1.5607287,2.7279472,4.1004844
TEMP,0.0,0.0,4.875657,1.2725188,1.9377667,2.5463962,4.4351514
TEMP,0.0,0.0,4.692642,1.3482758,2.1319468,2.7466904,4.4950894
TEMP,0.0,0.0,4.231775,1.584143,3.0173618,2.6767487,4.5892808
TEMP,0.0,0.0,4.084471,1.796564,4.2195958,2.6965407,4.5139189
TEMP,0.0,0.0,3.972682,1.974564,4.5352597,2.850337,4.450726
TEMP,0.0,0.0,3.450915,1.8864449,4.2123738,2.50701,2.619606
TEMP,0.0,0.0,3.156044,1.7230629,4.1015098,2.033382,1.841984
TEMP,0.0,0.0,2.904746,1.7581492,4.1222313,2.1541348,1.198034
TEMP,0.0,0.0,1.981398,1.7352584,4.1156873,1.7598138,0.934919
TEMP,0.0,0.0,1.28903,1.5564761,4.1171841,1.7711488,0.730927
TEMP,0.0,0.0,0.909207,1.6432497,4.0373771,2.1099888,0.39626
TEMP,0.0,0.0,0.685062,1.5444567,3.9200561,1.9760088,0.167222
TEMP,0.0,0.0,0.565713,1.4694267,2.8207618,2.162881,0.186284
TEMP,0.0,0.0,0.22541856,1.1991807,2.0498408,2.0637546,0.475923
TEMP,0.0,0.0,0.94618556,1.1038827,1.9350738,2.1958116,0.650341
TEMP,0.0,0.0,1.09930656,1.1524258,1.9801477,2.1860816,0.7391177
TEMP,0.0,0.0,1.23693756,1.2888068,1.9179985,2.3310266,1.0116747
TEMP,0.0,0.0,1.91280156,1.501888,2.0251595,2.3769286,1.7222437
TEMP,0.0,0.0,2.22245156,1.5325706,1.9066025,2.3314216,2.5822577
TEMP,0.0,0.0,2.39730556,1.7320869,1.9783365,2.2756856,3.1658507
TEMP,0.0,0.0,2.85210956,1.7322539,1.8332855,2.2532676,3.5974897
TEMP,0.0,0.0,3.15597856,2.2825289,2.1445885,2.2521206,3.5974897
TEMP,0.0,0.0,3.59134156,2.2874939,2.4262518,2.0905306,3.4112057
TEMP,0.0,0.0,4.001509,2.3073549,1.9501612,2.290828,3.1215667
TEMP,0.0,0.0,4.518562,2.1926651,1.7651102,1.9779628,2.9471487
TEMP,0.0,0.0,4.365441,2.2628711,1.9920902,2.1820198,2.858372
TEMP,0.0,0.0,4.22781,2.2282181,2.6081794,2.2976148,2.585815
TEMP,0.0,0.0,3.551946,2.0712821,2.6277974,2.1647608,1.875246
TEMP,0.0,0.0,3.242296,2.0953192,2.6707994,2.3036338,1.015232
TEMP,0.0,0.0,3.067442,2.0816322,2.6162634,2.4221548,0.431639
TEMP,0.0,0.0,2.612638,2.2234802,2.7730734,2.0530028,0.0
TEMP,0.0,0.0,2.308769,1.7442322,2.6598134,2.3174528,0.0
TEMP,0.0,0.0,1.650527,1.7641952,2.4415388,2.4912288,0.0
TEMP,0.0,0.0,1.23782,1.8684902,2.5753934,2.5647188,0.0
TEMP,0.0,0.0,0.0,1.900141,2.6004774,2.657493,0.0
TEMP,0.0,0.0,0.0,1.905626,2.3973994,2.523254,0.0
TEMP,0.0,0.0,0.0,1.785104,1.9137354,2.15474513,0.0
TEMP,0.0,0.0,0.0,1.932943,1.7461063,2.15539113,0.0
TEMP,0.0,0.0,0.0,1.96388,1.6406016,2.05453513,0.0
TEMP,0.0,0.0,0.0,2.540941,1.7394886,1.87566013,0.0
TEMP,0.0,0.0,0.0,2.456928,1.5444216,1.88432113,0.0
TEMP,0.0,0.0,0.0,2.438996,1.3987286,1.53907503,0.0
TEMP,0.0,0.0,0.0,2.398851,1.4546362,1.39142993,0.0
TEMP,0.0,0.0,1.13857,2.412475,1.3031637,1.29278093,0.0
TEMP,0.0,0.0,1.13857,2.3051493,1.2417665,1.53591393,0.0
TEMP,0.0,0.0,1.13857,2.2410125,1.2386145,1.78068393,0.0
TEMP,0.0,0.0,1.13857,2.2082613,1.2631165,1.9922048,0.0
TEMP,0.0,0.0,1.13857,2.0395273,1.4133986,2.3161108,0.0
TEMP,0.0,0.0,1.13857,2.1579483,1.395653,2.3227128,0.0
TEMP,0.0,0.0,1.13857,1.7630733,1.2071953,2.3237758,0.0
TEMP,0.0,0.0,1.13857,1.9832863,1.3070723,2.9971028,0.0
TEMP,0.0,0.0,1.13857,1.9929513,1.4839723,3.0282165,0.0
TEMP,0.0,0.0,1.13857,2.2168273,1.4914693,3.7236796,0.0
TEMP,0.0,0.0,0.0,2.0733359,1.5656798,4.0717286,0.0
TEMP,0.0,0.0,0.0,2.4008736,1.5455961,4.1731726,0.0
TEMP,0.0,0.0,0.0,2.3666586,1.6681901,3.7832686,0.0
TEMP,0.0,0.0,0.0,2.6948508,1.8282421,3.7216996,0.0
TEMP,0.0,0.0,0.0,2.7637538,1.9993231,3.3720944,0.0
TEMP,0.0,0.0,0.0,2.6495428,2.2178384,3.4877624,0.0
TEMP,0.0,0.0,0.0,2.2843132,2.3052081,3.9328074,0.0
TEMP,0.0,0.0,0.0,2.0107062,2.2130601,3.3337124,0.0
TEMP,0.0,0.0,0.0,1.8143845,2.0021881,3.9456318,0.0
TEMP,0.0,0.0,0.0,1.4934947,1.8980892,3.3311658,0.0
TEMP,0.0,0.0,0.0,1.5443651,2.1236622,2.8539422,0.0
TEMP,0.0,0.0,0.0,1.4381591,2.2398901,2.7714082,0.0
TEMP,0.0,0.0,0.0,1.4376917,2.0070004,3.1918292,0.0
TEMP,0.0,0.0,0.0,1.3524227,2.1085784,3.4477502,0.0
TEMP,0.0,0.0,0.0,1.3444287,2.2201024,4.0263494,0.0
TEMP,0.0,0.0,0.0,1.2787943,2.0871484,3.9700024,0.0
TEMP,0.0,0.0,0.0,1.3227484,2.1196194,3.8173214,0.0
TEMP,0.0,0.0,0.0,1.2543172,2.3229734,4.2469694,0.0
TEMP,0.0,0.0,0.0,1.2640228,2.3617464,3.8235244,0.0
TEMP,0.0,0.0,0.0,1.2925986,2.6915623,3.9774764,0.0
TEMP,0.0,0.0,0.0,1.3099286,2.6707863,4.086594,0.0
TEMP,0.0,0.0,0.0,1.1763496,2.572042,3.844207,0.0
TEMP,0.0,0.0,0.0,1.5983558,2.6673007,3.585131,0.0
TEMP,0.0,0.0,0.0,1.3403403,2.3801197,3.275305,0.0
TEMP,0.0,0.0,0.0,1.2055947,2.1492047,2.6987229,0.0
