Unnamed: 0,WT,WT,WT,WT,WT,WT,WT
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.881782,0.0719333,0.0555643,0.0289457,0.0756837,0.447212
3,0.0,0.881782,0.0719333,0.1313611,0.1094981,0.3284667,1.002087
4,4.37082,0.881782,0.0719333,0.1951875,0.1527229,0.4847247,1.203339
5,5.74658,0.9656159,0.1589677,0.226456,0.1998621,0.6110757,1.847309
6,5.863265,11.9655159,0.2076977,0.3075244,0.2840137,0.6689131,2.133704
7,5.93094,22.9252159,0.2404992,0.3392235,0.3209786,0.7288721,2.458079
8,6.433123,22.9252159,0.3203043,0.4124994,0.3402841,0.7703406,2.4771202
9,6.71342,22.9252159,0.32320333,0.4964162,0.3402841,0.8637873,2.5617651
10,6.936193,22.9252159,0.47168533,0.5205417,0.3402841,0.912396,2.6690421
11,6.936193,23.7132619,0.49256673,0.5559859,0.3402841,0.9370153,2.7147788
12,6.936193,24.4658489,0.57761383,0.6522562,0.3402841,1.0877473,2.8235958
13,6.936193,24.4658489,0.80868583,0.7106958,0.3402841,1.1952013,2.8352498
14,6.936193,24.4658489,1.06054283,0.7317757,0.3402841,1.3953253,2.8519189
15,6.936193,24.4658489,1.07369743,0.8517977,0.3402841,1.4367505,2.9394295
16,6.936193,24.4658489,1.15479683,0.8889619,0.3402841,1.5685805,3.0159837
17,6.936193,24.4658489,1.19027413,1.0041499,0.3402841,1.6594461,3.0379408
18,6.936193,24.4658489,1.40675813,1.0248307,0.3402841,1.7033497,3.0379408
19,6.936193,24.4658489,1.49310833,1.1223496,0.3402841,1.8231917,3.0379408
20,6.936193,24.4658489,1.62896133,1.1782932,0.3585096,1.8414075,3.0943626
21,6.936193,24.4658489,1.89692233,1.1907837,0.4385695,1.8736649,3.11873
22,6.936193,24.4658489,2.06046133,1.2411866,0.484223,1.9106744,3.1438752
23,6.936193,24.4658489,2.09776073,1.2837295,0.5172013,1.9380858,3.1649601
24,6.936193,24.4658489,2.27185373,1.3242136,0.6479523,2.0919038,3.7759311
25,6.936193,24.4658489,2.37024023,1.4184907,0.7212376,2.2890948,4.0353921
